typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,462,MDV,Maldives,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,456000,FALSE,8,kg,456000,FALSE,456000,FALSE,0,FALSE,,154529.514,154529.514,0,FALSE,TRUE
C,A,2023,52,2023,470,MLT,Malta,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,13112,FALSE,8,kg,13112,FALSE,13112,FALSE,0,FALSE,68669.208,,68669.208,0,FALSE,TRUE
C,A,2023,52,2023,470,MLT,Malta,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,2822055,FALSE,8,kg,2822055,FALSE,2822055,FALSE,0,FALSE,,1028691.933,1028691.933,0,FALSE,TRUE
C,A,2023,52,2023,478,MRT,Mauritania,M,Import,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,101807,FALSE,8,kg,101807,FALSE,101807,FALSE,0,FALSE,49586.378,,49586.378,0,FALSE,TRUE
C,A,2023,52,2023,478,MRT,Mauritania,X,Export,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,6843285,FALSE,8,kg,6843285,FALSE,6843285,FALSE,0,FALSE,,1054270.236,1054270.236,0,FALSE,TRUE
C,A,2023,52,2023,480,MUS,Mauritius,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,161,FALSE,8,kg,161,FALSE,161,FALSE,0,FALSE,202.751,166.765,202.751,0,FALSE,TRUE
C,A,2023,52,2023,480,MUS,Mauritius,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,1867352,FALSE,8,kg,1867352,FALSE,650733,FALSE,0,FALSE,,874397.451,874397.451,0,FALSE,TRUE
C,A,2023,52,2023,484,MEX,Mexico,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,,43891172,43891172,6,FALSE,TRUE
C,A,2023,52,2023,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,,76202254,76202254,0,FALSE,TRUE
C,A,2023,52,2023,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,231860903,FALSE,8,kg,231860903,FALSE,231860903,FALSE,0,FALSE,143869605.24,,143869605.24,0,FALSE,TRUE
